timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-12-12 19:14:30+00:00,b'Kerendia (#finerenone) Indications &amp; Starting Dose Regimen https://t.co/cC2ddAk7Bz #MedTwitter #CardioTwitter #NephTwitter #nephrology #diabetes #CKD #CardioEd #PharmaTwitter #internalmedicine @Bayer #ClinicalPearl #Bioinformatics #clinical #TwitteRx #MedTwitter #MedEd https://t.co/m94EFBNVID',b'ApoThera',"['finerenone', 'MedTwitter', 'CardioTwitter', 'NephTwitter', 'nephrology', 'diabetes', 'CKD', 'CardioEd', 'PharmaTwitter', 'internalmedicine', 'ClinicalPearl', 'Bioinformatics', 'clinical', 'TwitteRx', 'MedTwitter', 'MedEd']","Irvine, CA, USA",2143,3,3
2022-12-10 14:33:32+00:00,b'Finerenone receives Grade A Recommendation for treating CKD patients associated with type 2 diabetes: AACE update #ChronicKidneyDisease #CKD #type2diabetes #T2D #CKDpatients #AACEguideline #FDA #KERENDIA #Finerenone https://t.co/dctSaFt1c9',b'medicaldialogs',"['ChronicKidneyDisease', 'CKD', 'type2diabetes', 'T2D', 'CKDpatients', 'AACEguideline', 'FDA', 'KERENDIA', 'Finerenone']","New Delhi, India",9194,1,0
2022-12-13 13:45:22+00:00,"b'Read it. Great job especially sections on NAFLD, finerenone ,  and lipid  management https://t.co/s6ClpLjWs7'",b'docanoopmisra',[],"New Delhi, India",28766,0,6
2022-12-12 21:06:46+00:00,"b'#Finerenone reduced the risk of CV and kidney outcomes consistently across the spectrum of CKD in patients with T2D, irrespective of prevalent ASCVD. https://t.co/M8HR8MjFbr'",b'Manugrillo2',['Finerenone'],#Cedillo ,2194,0,1
2022-12-12 21:06:19+00:00,"b'#Finerenone reduced the risk of CV and kidney outcomes consistently across the spectrum of CKD in patients with T2D, irrespective of prevalent ASCVD.'",b'Manugrillo2',['Finerenone'],#Cedillo ,2194,0,0
2022-12-12 21:06:18+00:00,"b'#Finerenone efficacy in patients with chronic kidney disease, type 2 diabetes and atherosclerotic cardiovascular disease https://t.co/sh9idoZk4w'",b'Manugrillo2',['Finerenone'],#Cedillo ,2194,0,1
2022-12-12 20:18:57+00:00,"b'#Finerenone efficacy in patients with chronic KidneyDisease , type 2 diabetes &amp; atherosclerotic cardiovascular disease | European Heart Journal - Cardiovascular Pharmacotherapy.  https://t.co/fMAobvLlma https://t.co/fPS8ROPuns'",b'KerendiaEsp',['Finerenone'],,87,5,19
2022-12-12 19:14:30+00:00,b'Kerendia (#finerenone) Indications &amp; Starting Dose Regimen https://t.co/cC2ddAk7Bz #MedTwitter #CardioTwitter #NephTwitter #nephrology #diabetes #CKD #CardioEd #PharmaTwitter #internalmedicine @Bayer #ClinicalPearl #Bioinformatics #clinical #TwitteRx #MedTwitter #MedEd https://t.co/m94EFBNVID',b'ApoThera',"['finerenone', 'MedTwitter', 'CardioTwitter', 'NephTwitter', 'nephrology', 'diabetes', 'CKD', 'CardioEd', 'PharmaTwitter', 'internalmedicine', 'ClinicalPearl', 'Bioinformatics', 'clinical', 'TwitteRx', 'MedTwitter', 'MedEd']","Irvine, CA, USA",2143,3,3
2022-12-11 21:58:32+00:00,"b'Finerenone efficacy in patients with chronic #KidneyDisease , type 2 #diabetes &amp; atherosclerotic #cardiovascular disease | European Heart Journal - Cardiovascular Pharmacotherapy https://t.co/nfR44XtVFY #CardioTwitter #NephTwitter #diabetes #cardiologia #TwitteRx #Cardiology https://t.co/UUinrZ87XW'",b'ApoThera',"['KidneyDisease', 'diabetes', 'cardiovascular', 'CardioTwitter', 'NephTwitter', 'diabetes', 'cardiologia', 'TwitteRx', 'Cardiology']","Irvine, CA, USA",2143,1,2
2022-12-11 17:22:34+00:00,b'#Finerenone receives Grade A Recommendation for treating #CKD patients associated with type 2 diabetes: AACE upd... https://t.co/NFKbYjUwtT',b'Manugrillo2',"['Finerenone', 'CKD']",#Cedillo ,2194,0,0
